"","ia_1ad","ia_2ad","ia_3ad","ia_4ad","ia_5ad","ia_6ad","ia_7men","ia_8men","ia_9men","ia_10men","ia_11men","ia_12men","plb_m","tot_integ"
"101",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"102",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"103",0,1,0,0,0,0,0,0,0,0,0,0,1,4
"104",0,0,1,0,0,0,0,1,1,0,0,0,1,5
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"106",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,11
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"110",1,0,0,1,0,1,0,0,0,0,0,0,0,5
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"113",1,0,1,0,0,0,1,0,0,0,0,0,1,4
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"115",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"116",1,0,1,0,0,0,0,0,0,0,0,0,0,4
"117",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"119",1,0,0,0,0,0,1,0,0,0,0,0,0,7
"120",1,0,1,0,0,0,0,0,0,0,0,0,0,2
"121",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"122",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"123",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"125",0,0,1,0,0,0,0,0,0,0,0,0,0,4
"126",0,0,0,0,0,0,0,0,0,0,0,0,1,8
"127",0,0,0,0,0,0,0,0,0,0,0,0,1,4
"128",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"129",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"130",1,1,1,1,1,1,1,1,1,1,1,1,1,7
"131",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"134",1,0,0,0,0,0,1,0,0,0,0,0,1,7
"135",1,1,1,1,1,0,1,1,1,0,1,0,0,5
"136",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"137",0,0,0,0,0,0,1,0,0,0,0,0,0,3
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"139",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"140",1,0,1,1,1,1,0,1,1,0,1,1,0,5
"141",1,1,1,1,0,1,0,1,1,0,1,1,1,6
"142",0,0,0,0,0,0,0,0,0,0,0,0,1,8
"143",1,0,1,0,0,0,1,1,0,0,0,0,0,9
"144",1,0,1,0,0,0,1,1,1,1,1,0,0,7
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"147",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"148",0,0,0,0,0,0,0,0,0,0,0,0,1,6
"149",1,1,1,1,1,0,1,1,1,1,1,0,1,6
"150",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"151",1,0,1,0,0,0,0,1,0,0,0,0,0,5
"152",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"153",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"154",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"155",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"156",1,0,1,1,0,0,1,1,1,1,0,0,1,5
"157",1,0,1,0,1,0,1,1,1,1,1,0,1,4
"158",1,1,1,1,1,1,1,0,0,0,0,0,0,4
"159",1,0,0,0,0,0,1,0,0,0,0,0,0,4
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"161",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"162",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"163",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"164",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"165",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"166",1,1,1,0,1,0,1,1,1,0,0,0,0,4
"167",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"168",1,1,1,0,0,0,0,0,0,0,0,0,0,6
"169",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"170",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"171",1,1,1,1,0,0,0,0,0,0,0,0,1,6
"172",1,1,1,0,1,1,0,0,0,0,0,0,1,5
"173",1,1,1,1,1,0,1,1,1,1,0,0,0,4
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"175",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"176",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"177",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"178",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"179",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"180",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"181",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"183",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"184",1,1,1,0,1,0,1,0,0,0,0,0,0,3
"185",1,0,0,0,0,0,0,0,0,0,0,0,0,10
"186",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"187",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"188",1,1,1,0,1,0,1,1,1,0,0,0,1,6
"189",0,0,0,0,0,0,0,0,0,0,0,0,1,4
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"191",1,1,1,0,1,0,1,1,1,0,1,0,0,8
"192",1,0,1,0,0,0,1,0,1,0,0,0,1,5
"193",1,0,0,0,0,0,1,1,0,0,0,0,0,4
"194",1,0,1,1,1,0,0,0,0,0,0,0,1,6
"195",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,9
"197",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"198",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"200",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"201",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"202",1,1,1,0,1,1,1,1,1,1,0,0,0,3
"203",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"204",1,1,0,0,0,0,0,0,0,0,0,0,0,5
"205",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"206",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"207",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"208",1,1,1,0,0,0,1,0,0,0,1,0,0,5
"209",1,1,0,0,0,0,1,1,0,0,0,0,1,9
"210",1,0,0,0,0,0,1,1,0,0,0,0,0,7
"211",1,1,1,0,0,0,0,0,0,0,0,0,0,5
"212",1,1,1,1,1,0,1,1,1,1,1,0,0,3
"213",0,0,0,0,0,1,0,1,1,0,0,0,1,7
"214",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"215",0,1,1,0,1,1,1,1,0,1,0,0,0,5
"216",1,1,1,0,0,1,1,0,1,1,0,0,1,5
"217",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"218",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"219",1,0,0,0,0,0,0,0,0,0,0,0,0,6
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"221",0,0,0,0,1,0,0,0,0,0,0,0,1,6
"222",1,1,0,0,0,0,0,0,0,0,0,0,0,4
"223",1,1,1,1,1,0,1,1,1,1,1,1,0,8
"224",1,1,1,0,1,0,0,0,0,0,0,0,0,3
"225",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"226",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"227",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"228",1,1,1,0,1,1,1,1,1,0,1,0,1,7
"229",1,0,1,0,0,0,1,1,1,0,0,0,0,6
"230",1,1,1,1,1,1,1,1,1,1,1,1,0,4
"231",1,1,1,0,0,0,1,0,0,0,0,0,0,8
"232",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"233",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"234",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"235",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"236",1,0,0,0,0,0,0,0,0,0,0,0,1,5
"237",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"238",0,0,1,0,0,0,0,0,0,0,0,0,0,3
"239",0,0,0,0,0,0,0,0,0,0,0,0,0,13
"240",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"241",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"242",0,0,0,0,0,0,0,0,0,0,0,0,1,11
"243",1,0,1,0,0,0,0,0,0,0,0,0,0,3
"244",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"245",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"247",1,0,1,0,1,1,1,1,1,0,0,0,0,5
"248",1,1,1,1,1,1,1,1,1,1,1,1,1,6
"249",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"250",1,1,1,0,1,1,1,1,1,1,0,0,1,5
"251",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"252",0,0,0,0,0,0,0,0,0,0,0,0,1,2
"253",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"254",1,0,1,0,0,0,1,0,0,0,0,0,0,5
"255",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"256",1,1,1,1,1,0,1,1,1,0,0,0,1,3
"257",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"258",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"259",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"260",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"261",1,0,0,0,0,0,1,0,0,0,0,0,0,5
"262",0,0,0,0,0,0,0,0,0,0,0,0,0,7
